,country_id,latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,frp,daynight
58,BEL,51.17396,3.81032,338.6,278.8,0.73,0.76,2020-03-01,1054,6.8,D
59,BEL,50.2659,5.57642,324.7,278.7,0.45,0.63,2020-06-01,36,3.1,N
60,BEL,50.42543,4.54328,296.1,281.7,0.5,0.66,2020-06-01,36,1.2,N
61,BEL,50.76789,5.67064,301.4,280.6,0.44,0.63,2020-06-01,36,1.4,N
62,BEL,51.16803,3.81216,306.3,283.4,0.54,0.68,2020-06-01,36,1.3,N
63,BEL,51.16805,3.80429,299.4,283.5,0.54,0.68,2020-06-01,36,1.3,N
64,BEL,51.17108,3.80402,311.7,284.9,0.54,0.68,2020-06-01,36,3.7,N
65,BEL,51.1711,3.81186,312.2,283.7,0.54,0.68,2020-06-01,36,3.2,N
66,BEL,51.17432,3.81223,336.7,285.8,0.54,0.68,2020-06-01,36,4.3,N
67,BEL,51.17434,3.80432,333.1,284.1,0.54,0.68,2020-06-01,36,4.3,N
68,BEL,51.17738,3.80396,328.5,282.7,0.54,0.68,2020-06-01,36,6.7,N
69,BEL,51.17739,3.81192,337.0,286.0,0.54,0.68,2020-06-01,36,8.2,N
70,BEL,51.18061,3.81224,300.9,281.8,0.54,0.68,2020-06-01,36,4.3,N
71,BEL,50.47117,3.99025,304.2,283.8,0.57,0.43,2020-06-01,218,1.4,N
72,BEL,50.47186,3.992,307.9,285.7,0.57,0.43,2020-06-01,218,2.3,N
73,BEL,50.57038,5.36875,304.0,284.7,0.42,0.45,2020-06-01,218,1.6,N
74,BEL,50.60279,3.48813,296.6,284.8,0.54,0.42,2020-06-01,218,1.4,N
75,BEL,50.76351,5.66954,306.9,281.5,0.43,0.46,2020-06-01,218,1.6,N
76,BEL,50.76644,5.6723,312.5,283.6,0.43,0.46,2020-06-01,218,1.1,N
77,BEL,51.16711,3.81636,328.4,281.0,0.54,0.42,2020-06-01,218,4.2,N
78,BEL,51.16875,3.80903,316.0,281.6,0.54,0.42,2020-06-01,218,4.3,N
79,BEL,51.17242,3.81112,330.9,282.8,0.54,0.42,2020-06-01,218,4.3,N
80,BEL,51.17405,3.80381,327.7,281.3,0.54,0.42,2020-06-01,218,4.3,N
81,BEL,51.1761,3.8132,324.4,280.6,0.54,0.42,2020-06-01,218,3.8,N
82,BEL,50.8082,4.29126,334.8,306.0,0.43,0.38,2020-06-01,1206,1.7,D
83,BEL,51.14053,4.16094,343.8,312.2,0.43,0.38,2020-06-01,1206,3.1,D
84,BEL,51.16691,3.8086,340.6,307.2,0.43,0.38,2020-06-01,1206,6.1,D
85,BEL,51.16806,3.81461,334.6,306.4,0.43,0.38,2020-06-01,1206,3.0,D
86,BEL,51.1703,3.80697,333.4,307.3,0.43,0.38,2020-06-01,1206,6.3,D
87,BEL,51.17145,3.81297,342.4,307.4,0.43,0.38,2020-06-01,1206,5.8,D
88,BEL,51.17483,3.81133,347.8,310.8,0.43,0.38,2020-06-01,1206,5.8,D
89,BEL,51.29668,4.67532,338.9,306.8,0.41,0.37,2020-06-01,1206,2.6,D
90,BEL,50.47368,3.9912,322.3,287.7,0.39,0.36,2020-09-01,154,2.3,N
91,BEL,51.16606,3.81586,322.6,283.9,0.39,0.36,2020-09-01,154,2.1,N
92,BEL,51.16695,3.81047,314.7,284.5,0.39,0.36,2020-09-01,154,2.1,N
93,BEL,51.16783,3.80508,336.0,286.3,0.39,0.36,2020-09-01,154,2.9,N
94,BEL,51.17019,3.81182,296.2,282.9,0.39,0.36,2020-09-01,154,1.5,N
95,BEL,51.17107,3.80643,312.7,283.3,0.39,0.36,2020-09-01,154,3.1,N
96,BEL,51.17342,3.81317,323.1,286.3,0.39,0.36,2020-09-01,154,1.5,N
97,BEL,51.17431,3.80777,342.5,286.9,0.39,0.36,2020-09-01,154,3.1,N
98,BEL,51.17666,3.81451,296.7,283.9,0.39,0.36,2020-09-01,154,0.9,N
99,BEL,51.17754,3.80912,310.3,285.2,0.39,0.36,2020-09-01,154,1.5,N
100,BEL,51.22782,5.1432,299.9,283.7,0.4,0.37,2020-09-01,154,0.6,N
101,BEL,50.57025,5.36936,297.85,274.16,0.54,0.42,2022-03-01,117,1.16,N
102,BEL,50.57051,5.36672,297.39,274.35,0.54,0.42,2022-03-01,117,1.11,N
103,BEL,50.42242,4.5416,307.65,280.78,0.36,0.57,2022-06-01,54,1.1,N
104,BEL,50.47362,3.99146,308.76,280.6,0.38,0.59,2022-06-01,54,0.77,N
105,BEL,50.47428,3.99169,305.58,281.83,0.38,0.59,2022-06-01,54,1.47,N
106,BEL,50.56002,4.21242,310.68,278.38,0.37,0.58,2022-06-01,54,1.05,N
107,BEL,50.57411,5.37255,295.95,280.53,0.33,0.55,2022-06-01,54,0.54,N
108,BEL,50.7667,5.67059,305.97,279.32,0.32,0.55,2022-06-01,54,0.89,N
109,BEL,51.16727,3.8166,324.72,280.01,0.39,0.59,2022-06-01,54,3.65,N
110,BEL,51.16742,3.81091,338.32,279.89,0.39,0.59,2022-06-01,54,3.65,N
111,BEL,51.16757,3.8052,307.58,280.16,0.39,0.59,2022-06-01,54,2.09,N
112,BEL,51.17278,3.81705,327.66,280.93,0.39,0.59,2022-06-01,54,2.99,N
113,BEL,51.17294,3.81133,337.13,281.39,0.39,0.59,2022-06-01,54,2.99,N
114,BEL,51.1731,3.80561,316.38,281.63,0.39,0.59,2022-06-01,54,3.07,N
115,BEL,51.17846,3.81173,299.24,280.3,0.39,0.59,2022-06-01,54,2.99,N
116,BEL,51.2568,4.33875,296.84,282.18,0.37,0.58,2022-06-01,54,0.66,N
117,BEL,51.26811,4.32342,297.99,282.74,0.37,0.58,2022-06-01,54,0.99,N
118,BEL,50.4712,3.99369,299.58,280.08,0.5,0.49,2022-06-01,234,0.78,N
119,BEL,50.47359,3.99487,300.06,282.21,0.5,0.49,2022-06-01,234,2.03,N
120,BEL,50.57093,5.37011,297.91,280.3,0.56,0.52,2022-06-01,234,1.23,N
121,BEL,50.76601,5.67644,304.08,282.16,0.57,0.52,2022-06-01,234,1.49,N
122,BEL,51.16611,4.33439,295.95,281.6,0.49,0.49,2022-06-01,234,1.11,N
123,BEL,51.17319,3.80184,304.13,279.09,0.47,0.48,2022-06-01,234,2.35,N
124,BEL,51.17409,3.81699,305.16,276.49,0.47,0.48,2022-06-01,234,1.49,N
125,BEL,51.17569,3.81073,301.47,278.57,0.47,0.48,2022-06-01,234,1.81,N
126,BEL,51.25592,4.34052,295.1,282.35,0.49,0.49,2022-06-01,234,0.87,N
127,BEL,51.2693,4.32639,296.83,283.23,0.49,0.48,2022-06-01,234,1.23,N
128,BEL,50.76243,5.67527,325.95,300.25,0.39,0.36,2022-06-01,1221,3.01,D
129,BEL,51.23463,3.21521,336.33,300.25,0.39,0.36,2022-06-01,1221,2.66,D
130,BEL,51.16651,3.80484,318.99,283.56,0.75,0.77,2022-09-01,28,3.88,N
131,BEL,51.16685,3.81581,295.68,282.84,0.75,0.77,2022-09-01,28,4.35,N
132,BEL,51.17102,3.80059,310.4,284.88,0.75,0.77,2022-09-01,28,5.1,N
133,BEL,51.17132,3.81166,318.15,283.65,0.75,0.77,2022-09-01,28,4.91,N
134,BEL,51.17329,3.79326,295.08,284.3,0.75,0.77,2022-09-01,28,3.88,N
135,BEL,51.17365,3.80444,330.32,285.82,0.75,0.77,2022-09-01,28,3.88,N
136,BEL,51.17815,3.80007,319.71,284.03,0.75,0.77,2022-09-01,28,5.18,N
137,BEL,51.17845,3.81121,301.2,284.16,0.75,0.77,2022-09-01,28,4.42,N
138,BEL,51.18077,3.80395,299.35,283.57,0.75,0.77,2022-09-01,28,1.48,N
